Keyword	Conversions	Cost / conv.	Final URL	Mobile final URL	Clicks	Impr.	CTR	Avg. CPC	Cost	Conv. rate
aws 構築	8.0	64408			1,165	17,829	6.53%	442	515264	0.69%
aws 構築 サービス	2.5	32737			151	2,439	6.19%	542	81843	1.66%
aws 構築運用	1.0	4330			8	206	3.88%	541	4330	12.50%
aws 初心者	5.0	34195			629	6,398	9.83%	272	170976	0.79%
マネージドクラウド with aws	2.0	16199			55	354	15.54%	589	32397	3.64%
aws 導入 支援	0.0	0			31	659	4.70%	1091	33827	0.00%
aws 構築 支援	0.0	0			8	221	3.62%	516	4124	0.00%
aws 導入 サポート	0.0	0			7	244	2.87%	664	4648	0.00%
aws 導入 サービス	0.0	0			0	41	0.00%	0	0	0.00%
aws 導入 代行	0.0	0			0	0	 --	0	0	0.00%
aws 構築運用 自動化	0.0	0			0	0	 --	0	0	0.00%
aws 導入 ツール	0.0	0			0	0	 --	0	0	0.00%
aws 構築運用 ツール	0.0	0			0	0	 --	0	0	0.00%
aws 構築運用 支援	0.0	0			0	0	 --	0	0	0.00%
aws ソニー	1.0	16376			50	399	12.53%	328	16376	2.00%
aws 導入	0.0	0			202	4,736	4.27%	628	126849	0.00%
aws 構築 自動化	0.0	0			7	196	3.57%	823	5761	0.00%
aws 構築運用 サービス	0.0	0			0	1	0.00%	0	0	0.00%
aws 構築 サポート	1.0	587			1	33	3.03%	587	587	100.00%
aws 構築 代行	0.0	0			4	197	2.03%	486	1943	0.00%
aws 構築 ツール	0.0	0			0	13	0.00%	0	0	0.00%
aws 構築運用 サポート	0.0	0			0	0	 --	0	0	0.00%
aws 導入 自動化	0.0	0			0	0	 --	0	0	0.00%
aws 構築運用 代行	0.0	0			0	0	 --	0	0	0.00%
nan	21.0	49091			2,389	34,638	6.90%	432	1030902	0.88%
 +aws +ダイレクトコネクト	64.15	11010			4,086	40,082	10.19%	173	706315	1.57%
aws direct connect	9.5	20653			899	17,073	5.27%	218	196204	1.06%
aws site to site vpn	5.0	2567			70	1,932	3.62%	183	12833	7.14%
amazon vpc	0.0	0			8	436	1.83%	232	1856	0.00%
aws ダイレクトコネクト	0.0	0			0	5	0.00%	0	0	0.00%
aws 閉域 接続	0.0	0			46	1,513	3.04%	323	14849	0.00%
aws direct connect gateway	0.0	0			0	4	0.00%	0	0	0.00%
vpn aws 構築	0.0	0			2	7	28.57%	198	395	0.00%
aws direct connect vpn	0.0	0			1	13	7.69%	150	150	0.00%
aws ダイレクト コネクト vpn 違い	0.0	0			1	10	10.00%	243	243	0.00%
aws 接続 回線	0.0	0			10	218	4.59%	308	3079	0.00%
aws 回線	0.0	0			4	80	5.00%	240	958	0.00%
aws direct connect とは	0.0	0			0	4	0.00%	0	0	0.00%
 +aws ネットワーク	98.69	10109			5,254	104,932	5.01%	190	997658	1.88%
 +aws +transit +gateway	7.41	15810			541	9,873	5.48%	217	117202	1.37%
aws vpn connection	1.0	10706			56	801	6.99%	191	10706	1.79%
aws direct connect 料金	1.0	12370			56	858	6.53%	221	12370	1.79%
aws 閉域 網	1.0	1102			5	47	10.64%	220	1102	20.00%
aws 接続	1.0	2836			14	857	1.63%	203	2836	7.14%
direct connect 料金	0.0	0			30	311	9.65%	270	8085	0.00%
aws direct connect 費用	0.0	0			3	42	7.14%	166	499	0.00%
aws オンプレ 接続 ベスト プラクティス	0.0	0			2	31	6.45%	156	311	0.00%
aws transit gateway	0.0	0			0	0	 --	0	0	0.00%
aws 専用回線 接続	0.0	0			0	0	 --	0	0	0.00%
 +amazon +vpc	13.64	9881			612	12,620	4.85%	220	134793	2.23%
 +AWS +専用線	10.43	16913			1,017	8,486	11.98%	173	176335	1.03%
 +aws +direct +connect +gateway	4.5	10419			215	3,967	5.42%	218	46885	2.09%
 +aws +directconnect +料金	20.24	8817			961	5,634	17.06%	186	178463	2.11%
 +aws +ダイレクトコネクト +料金	32.51	8518			1,446	9,088	15.91%	191	276903	2.25%
direct connect	2.0	4369			35	683	5.12%	250	8737	5.71%
aws ネットワーク	4.0	16034			249	12,963	1.92%	258	64135	1.61%
aws 専用 線 費用	0.0	0			12	96	12.50%	241	2887	0.00%
AWS 専用線	0.0	0			0	3	0.00%	0	0	0.00%
aws 接続 vpn	0.0	0			0	3	0.00%	0	0	0.00%
aws ダイレクトコネクト 料金	0.0	0			0	1	0.00%	0	0	0.00%
 +aws +direct +connect	105.98	10665			6,091	78,423	7.77%	186	1130311	1.74%
 +aws +回線	7.9	10230			442	5,082	8.70%	183	80816	1.79%
 +aws +接続	62.81	8838			3,156	57,053	5.53%	176	555098	1.99%
 +aws +site +to +site +vpn	15.15	7560			587	14,772	3.97%	195	114526	2.58%
aws vpc	1.0	1477			7	385	1.82%	211	1477	14.29%
 +aws +専用回線 +接続	0.0	0			1	13	7.69%	324	324	0.00%
aws vpn 接続	0.0	0			6	144	4.17%	172	1034	0.00%
aws ダイレクト コネクト 構成図	0.0	0			8	96	8.33%	205	1636	0.00%
 +aws NURO	0.0	0			0	0	 --	0	0	0.00%
aws 接続 方法	0.0	0			0	0	 --	0	0	0.00%
