Keyword	Conversions	Cost / conv.	Final URL	Mobile final URL	Clicks	Impr.	CTR	Avg. CPC	Cost	Conv. rate
機械学習	2.00	1674			18	1,179	1.53%	186	3347	11.11%
人工知能	12.00	790			62	3,870	1.60%	153	9474	19.35%
 +人工知能	29.00	1510			340	20,717	1.64%	129	43800	8.53%
ai 事例	0.00	0			7	513	1.36%	143	1000	0.00%
ai 対話	0.00	0			7	450	1.56%	94	656	0.00%
ai 開発	58.00	1127			567	14,624	3.88%	115	65367	10.23%
グーグル ai	11.00	1136			88	3,635	2.42%	142	12500	12.50%
ディープ・ラーニング	12.00	813			69	4,267	1.62%	141	9752	17.39%
ai フリー ソフト	0.00	0			8	521	1.54%	136	1087	0.00%
ディープラーニング 画像認識	2.00	731			11	315	3.49%	133	1461	18.18%
人工 知能 ソフトウェア	1.00	1822			24	553	4.34%	76	1822	4.17%
ai ソフト	18.00	1513			253	6,051	4.18%	108	27240	7.11%
パイソン 言語	0.00	0			8	2,479	0.32%	134	1073	0.00%
パイソン プログラミング言語	1.00	98			2	461	0.43%	49	98	50.00%
ai 解析	0.00	0			9	315	2.86%	101	905	0.00%
ai カメラ	0.00	0			36	1,896	1.90%	61	2213	0.00%
ai 作る	14.00	1733			190	2,550	7.45%	128	24258	7.37%
ai 最新	0.00	0			4	980	0.41%	78	311	0.00%
ツール ai	2.00	2472			24	795	3.02%	206	4944	8.33%
python クラウド	1.00	280			1	39	2.56%	280	280	100.00%
ディープ・ラーニング ツール	1.00	98			1	21	4.76%	98	98	100.00%
ディープ・ラーニング 画像認識	2.00	503			7	329	2.13%	144	1006	28.57%
簡単 ai	12.00	633			58	759	7.64%	131	7593	20.69%
ai 簡単	1.00	4844			35	737	4.75%	138	4844	2.86%
 +ディープ・ラーニング	15.00	1526			157	8,727	1.80%	146	22891	9.55%
ai ツール 無料	19.76	885			113	2,207	5.12%	155	17490	17.49%
ai 無料 ソフト	7.00	1553			70	1,765	3.97%	155	10874	10.00%
ai 予測分析	1.00	9428			69	1,825	3.78%	137	9428	1.45%
ai を 使う	0.00	0			6	262	2.29%	56	334	0.00%
 +ai +自分で作る	2.00	1171			21	291	7.22%	112	2342	9.52%
プログラミング ai 作り方	2.00	1011			17	196	8.67%	119	2022	11.76%
python で	0.00	0			2	279	0.72%	49	98	0.00%
データサイエンス とは	0.00	0			5	151	3.31%	49	247	0.00%
ai 画像	4.00	3437			257	5,147	4.99%	53	13749	1.56%
ディープラーニング 研修	0.00	0			1	6	16.67%	45	45	0.00%
機械学習 研修	0.00	0			0	3	0.00%	0	0	0.00%
ビックデータ ビッグデータ	0.00	0			0	15	0.00%	0	0	0.00%
ai applications	0.00	0			2	74	2.70%	49	97	0.00%
機械学習 クラウド	0.00	0			0	14	0.00%	0	0	0.00%
