Keyword	Conversions	Cost / conv.	Final URL	Mobile final URL	Clicks	Impr.	CTR	Avg. CPC	Cost	Conv. rate
勤怠管理プロジェクト管理	0.0	0			0	4	0.00%	0	0	0.00%
勤怠ネットワーク	0.0	0			0	12	0.00%	0	0	0.00%
勤怠管理 クラウド	1.0	46941			72	2,126	3.39%	652	46941	1.39%
勤怠打刻方法	0.0	0			0	14	0.00%	0	0	0.00%
勤怠管理スマホ	0.0	0			4	115	3.48%	1013	4052	0.00%
勤怠管理ブラウザ	0.0	0			0	19	0.00%	0	0	0.00%
勤怠有給消化	0.0	0			0	1	0.00%	0	0	0.00%
勤怠管理ログイン	0.0	0			49	636	7.70%	193	9437	0.00%
勤怠管理使いやすい	0.0	0			0	5	0.00%	0	0	0.00%
勤怠管理カード	0.0	0			4	123	3.25%	585	2339	0.00%
勤怠管理位置情報	0.0	0			0	33	0.00%	0	0	0.00%
勤怠経費システム	0.0	0			0	2	0.00%	0	0	0.00%
勤怠ログ管理	0.0	0			0	28	0.00%	0	0	0.00%
打刻システムクラウド	0.0	0			0	0	 --	0	0	0.00%
勤怠管理システムログイン	0.0	0			2	38	5.26%	149	298	0.00%
打刻クラウド	0.0	0			4	55	7.27%	1190	4758	0.00%
勤怠管理アプリスマホ	0.0	0			0	0	 --	0	0	0.00%
勤怠管理システム無料比較	0.0	0			0	6	0.00%	0	0	0.00%
モバイル勤怠	0.0	0			1	32	3.13%	194	194	0.00%
勤怠計算アプリ	0.0	0			2	137	1.46%	506	1011	0.00%
打刻アプリ無料	0.0	0			0	8	0.00%	0	0	0.00%
勤怠管理在宅	0.0	0			3	64	4.69%	635	1906	0.00%
勤怠管理 テレワーク	0.0	0			18	644	2.80%	413	7432	0.00%
勤怠管理内容	0.0	0			0	0	 --	0	0	0.00%
勤怠管理無料アプリ	0.0	0			1	54	1.85%	403	403	0.00%
勤怠システム	0.0	0			12	930	1.29%	706	8474	0.00%
勤怠管理導入	0.0	0			1	114	0.88%	442	442	0.00%
勤怠管理pc起動	0.0	0			0	9	0.00%	0	0	0.00%
勤怠管理システム無料	0.0	0			7	743	0.94%	442	3092	0.00%
勤怠データベース	0.0	0			0	16	0.00%	0	0	0.00%
勤怠管理無料ソフト	0.0	0			0	8	0.00%	0	0	0.00%
勤怠チェック	0.0	0			1	20	5.00%	238	238	0.00%
