Keyword	Conversions	Cost / conv.	Final URL	Mobile final URL	Clicks	Impr.	CTR	Avg. CPC	Cost	Conv. rate
gps キッズ	63.50	684			328	2,957	11.09%	132	43400	19.36%
子ども 用 gps	29.91	966			229	1,876	12.21%	126	28893	13.06%
キッズ 携帯 gps	20.32	856			132	1,445	9.13%	132	17390	15.39%
見守り gps	4,623.24	419			14,293	153,081	9.34%	135	1936212	32.35%
gps 見守り アプリ	21.51	734			127	2,556	4.97%	124	15790	16.94%
au キッズ gps	12.00	487			62	702	8.83%	94	5845	19.35%
アプリ 見守り	17.00	422			59	1,090	5.41%	122	7177	28.81%
au キッズ 携帯 gps	1.00	2828			39	518	7.53%	73	2828	2.56%
み もり	8.41	629			45	992	4.54%	118	5291	18.69%
子ども 見守り アプリ	6.50	643			39	864	4.51%	107	4180	16.67%
親 見守り アプリ	1.00	1081			8	162	4.94%	135	1081	12.50%
親 の 見守り アプリ	1.00	560			5	119	4.20%	112	560	20.00%
bot 見守り	0.33	1560			7	171	4.09%	74	520	4.76%
子ども 携帯 gps	708.69	513			2,937	30,923	9.50%	124	363357	24.13%
キッズ 携帯 gps ソフトバンク	7.00	538			40	1,000	4.00%	94	3769	17.50%
au キッズ 携帯 位置 情報	5.31	417			21	149	14.09%	105	2214	25.28%
セコム 見守り gps	2.00	2474			36	756	4.76%	137	4947	5.56%
見守り ボット	19.00	396			62	1,321	4.69%	121	7532	30.65%
家族 見守り アプリ	12.85	568			47	925	5.08%	155	7303	27.35%
小学生 見守り gps	24.06	729			119	1,008	11.81%	147	17535	20.21%
見守り gps キーホルダー	29.05	409			106	1,498	7.08%	112	11881	27.40%
キッズ ケータイ au gps	1.00	1061			16	196	8.16%	66	1061	6.25%
gps 子ども 見守り	14.21	765			86	1,272	6.76%	126	10871	16.53%
gps み もり	2.00	831			15	189	7.94%	111	1661	13.33%
小学 一年生 gps	15.00	708			76	670	11.34%	140	10613	19.74%
登 下校 gps	16.01	519			61	614	9.93%	136	8305	26.25%
見守り サービス gps	73.00	467			245	3,469	7.06%	139	34124	29.80%
ミマモル gps ミニ	1.00	1866			16	288	5.56%	117	1866	6.25%
キッズ 携帯 ジーピーエス	5.00	1173			61	720	8.47%	96	5867	8.20%
見守り 無料	1.00	1849			16	297	5.39%	116	1849	6.25%
子ども の gps	2.00	1259			16	299	5.35%	157	2518	12.50%
離れ て 暮らす 親 見守り アプリ	2.13	909			15	210	7.14%	129	1936	14.19%
otta アプリ	11.58	496			38	724	5.25%	151	5744	30.48%
みまもり ケータイ 4 gps	5.00	134			6	37	16.22%	112	670	83.33%
キッズ ケータイ gps 比較	1.00	639			5	153	3.27%	128	639	20.00%
位置 情報 キッズ 携帯	1.00	871			11	187	5.88%	79	871	9.09%
見守り アプリ 人気	1.00	1219			11	188	5.85%	111	1219	9.09%
見守り カメラ アプリ 無料	32.50	624			176	2,608	6.75%	115	20280	18.47%
見守り 機能 アプリ	4.00	804			25	456	5.48%	129	3214	16.00%
小学生 gps 携帯	23.00	900			150	1,997	7.51%	138	20696	15.33%
見守り gps アプリ	18.37	645			96	1,827	5.25%	123	11846	19.14%
見守り アプリ gps	2.00	248			4	127	3.15%	124	495	50.00%
gps ボイス	39.77	574			208	1,509	13.78%	110	22833	19.12%
見守り アプリ 無料	0.00	0			12	181	6.63%	113	1354	0.00%
シニア 見守り アプリ	0.00	0			13	168	7.74%	103	1340	0.00%
ソフトバンク みまもり ケータイ gps	0.00	0			2	20	10.00%	48	96	0.00%
キッズ 携帯 の gps	0.00	0			2	13	15.38%	99	198	0.00%
み もり gps 口コミ	0.00	0			1	4	25.00%	169	169	0.00%
みまもり gps bot	0.00	0			2	24	8.33%	103	206	0.00%
み もり 口コミ	0.00	0			0	7	0.00%	0	0	0.00%
みまもり ケータイ au gps	0.00	0			6	126	4.76%	117	700	0.00%
みて ね みまもり gps アプリ	0.00	0			0	11	0.00%	0	0	0.00%
キンセイ gps	0.00	0			3	56	5.36%	139	417	0.00%
キッズ 携帯 位置 情報 無料	0.00	0			0	7	0.00%	0	0	0.00%
au キッズ 携帯 居場所	0.00	0			0	2	0.00%	0	0	0.00%
softbank キッズ 携帯 gps	0.00	0			19	274	6.93%	92	1751	0.00%
みて ね みまもり gps bot	0.00	0			0	3	0.00%	0	0	0.00%
みて ね みまもり gps 月額	0.00	0			4	127	3.15%	121	484	0.00%
みて ね みまもり gps 比較	0.00	0			1	21	4.76%	632	632	0.00%
みまもり ケータイ gps ソフトバンク	0.00	0			0	6	0.00%	0	0	0.00%
キッズ ケータイ gps au	0.00	0			3	51	5.88%	117	352	0.00%
セコム いつでも 見守り アプリ	0.00	0			1	13	7.69%	62	62	0.00%
タブレット 見守り アプリ	0.00	0			6	122	4.92%	129	773	0.00%
見守り キーホルダー gps	0.00	0			23	382	6.02%	119	2732	0.00%
