Keyword,Category,Clicks,Category Status,Jacard,Cosine,BERT,Search Volume,Competitor Score,CPC
医療保険,Core Service,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
がん保険,Illness Coverage Domains,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
医療保険 安い,Attribute,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
がん保険 ソニー,Illness Coverage Domains,30.0,deeper,0.8571428571428571,0.9071139097213744,0.9503225088119508,480.0,28.0,1.63
ソニー 病気保険,Illness Coverage Domains,0.0,deeper,0.1538461538461538,0.8344300985336304,0.7372565865516663,3600.0,9.0,2.91
ソニー 入院保険,Illness Coverage Domains,0.0,deeper,0.1538461538461538,0.8462295532226562,0.7319770455360413,3600.0,9.0,2.91
ソニー損保 医療,Core Service,0.0,deeper,0.25,0.8197646141052246,0.7138159871101379,3600.0,9.0,2.91
ソニー保険,Core Service,0.0,deeper,0.1818181818181818,0.8267949819564819,0.7553867101669312,3600.0,9.0,2.91
ソニー 終身医療保険,Core Service,0.0,deeper,0.3076923076923077,0.8286289572715759,0.7501760721206665,3600.0,9.0,2.91
ソニー損保 安い,Attribute,0.0,deeper,0.1538461538461538,0.8482884168624878,0.7088717818260193,3600.0,9.0,2.91
ソニー損保 手頃な保険料,Attribute,0.0,deeper,0.125,0.8459819555282593,0.6830036640167236,3600.0,9.0,2.91
ソニー損保 保険料,Attribute,0.0,deeper,0.1538461538461538,0.8240970373153687,0.7297911047935486,3600.0,9.0,2.91
ソニー損保 ご契約者ページ,Customer Service,0.0,wider,0.2222222222222222,0.8456283807754517,0.7846736311912537,720.0,11.0,0.77
ソニー損保 保険金請求,Customer Service,0.0,wider,0.1333333333333333,0.8303101062774658,0.7308654189109802,3600.0,9.0,2.91
ソニー損保 契約内容の変更,Customer Service,0.0,wider,0.0526315789473684,0.8045955896377563,0.6807122230529785,3600.0,9.0,2.91
ソニー損保 給付金,Insurance Benefits,0.0,wider,0.0666666666666666,0.8192340135574341,0.6736106276512146,3600.0,9.0,2.91
ソニー損保 入院給付,Insurance Benefits,0.0,wider,0.0625,0.8067061305046082,0.6854267120361328,3600.0,9.0,2.91
ソニー損保 手術給付,Insurance Benefits,0.0,wider,0.0625,0.8041366338729858,0.6896793842315674,3600.0,9.0,2.91
ソニー損保 保険金請求手続き,Insurance Procedures,0.0,wider,0.1111111111111111,0.8453572988510132,0.710691511631012,3600.0,9.0,2.91
ソニー損保 契約内容の確認手続き,Insurance Procedures,0.0,wider,0.0454545454545454,0.8302498459815979,0.6685577034950256,3600.0,9.0,2.91
ソニー損保 住所変更手続き,Insurance Procedures,0.0,wider,0.0526315789473684,0.8293262720108032,0.6754649877548218,3600.0,9.0,2.91
ソニー損保 がん給付,Insurance Benefits,0.0,deeper,0.0625,0.8183664083480835,0.6843569874763489,3600.0,9.0,2.91
ソニー損保 手術費用補償,Insurance Benefits,0.0,deeper,0.05555555555555555,0.8069587349891663,0.6888415217399597,3600.0,9.0,2.91
ソニー損保 入院日数給付,Insurance Benefits,0.0,deeper,0.05555555555555555,0.7943971157073975,0.6603829264640808,3600.0,9.0,2.91
ソニー損保 終身医療,Core Service,0.0,deeper,0.21428571428571427,0.8116538524627686,0.6936445832252502,3600.0,9.0,2.91
ソニー損保 保険サービス,Core Service,0.0,deeper,0.15384615384615385,0.803012490272522,0.7428300976753235,3600.0,9.0,2.91
ソニー損保 保険プラン,Core Service,0.0,deeper,0.14285714285714285,0.7970018982887268,0.7348082065582275,3600.0,9.0,2.91
